,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"	 18 years and over",Both,"32,383",72,109,155,319,346,562,"1,753","11,059","6,514","1,280","1,958","5,177","2,441",264,372
"		  18 to 24 years",Both,"4,223",4,7,3,5,32,65,464,"1,651","1,400",76,181,324,9,0,0
"	 25 years and over",Both,"28,160",69,102,152,314,314,496,"1,289","9,408","5,114","1,204","1,777","4,853","2,432",264,372
"		  25 to 29 years",Both,"3,449",12,0,3,4,17,12,156,"1,296",742,107,175,731,155,19,19
"		  30 to 34 years",Both,"3,349",1,1,1,14,24,18,123,"1,207",714,148,217,592,236,22,29
"		  35 to 39 years",Both,"2,919",4,11,4,21,32,42,104,778,603,125,220,580,295,50,50
"		  40 to 44 years",Both,"2,743",3,6,13,24,30,52,114,862,458,122,167,487,342,25,37
"		  45 to 49 years",Both,"2,546",3,9,9,20,13,47,98,736,390,130,191,564,270,24,41
"		  50 to 54 years",Both,"2,596",7,4,6,20,19,35,84,838,440,122,173,480,289,17,62
"		  55 to 59 years",Both,"2,503",4,2,17,14,31,62,126,879,427,115,174,404,199,17,32
"		  60 to 64 years",Both,"2,624",9,15,17,49,27,62,148,933,442,129,158,371,224,24,17
"		  65 to 69 years",Both,"2,006",7,10,9,38,29,56,113,664,384,85,123,271,166,22,30
"		  70 to 74 years",Both,"1,443",7,9,20,24,22,55,88,483,251,55,83,183,127,16,23
"	 75 years and over",Both,"1,983",11,37,53,85,70,56,135,733,264,66,96,188,129,28,32
